sequence_id	protein_count	time	method
100053.SAMN02947772	3646	71.32	pyhmmer
1000565.SAMN02471991	3926	78.32	pyhmmer
1001240.SAMN02863076	3249	64.6	pyhmmer
1001585.SAMN02603190	4958	98.3	pyhmmer
1001994.SAMN02470178	1945	39.0	pyhmmer
100225.SAMN05421595	3035	61.35	pyhmmer
100226.SAMEA1705940	8120	161.49	pyhmmer
1002339.SAMN00259686	2660	53.65	pyhmmer
1002340.SAMN02471702	4163	81.81	pyhmmer
1002368.SAMN02299454	4710	93.98	pyhmmer
1002526.SAMN05216578	3162	63.5	pyhmmer
1002672.SAMN02603337	1447	29.85	pyhmmer
1002804.SAMEA2272649	1894	37.69	pyhmmer
1002805.SAMEA2272226	2512	50.92	pyhmmer
1002809.SAMD00060988	3810	75.67	pyhmmer
1003195.SAMN02603879	5822	116.85	pyhmmer
1003202.SAMN02603530	839	18.41	pyhmmer
1003238.SAMN02470555	923	20.8	pyhmmer
1003.SAMN04488541	4556	93.9	pyhmmer
1004149.SAMN02470158	3214	64.77	pyhmmer
1004156.SAMN04504644	3263	64.05	pyhmmer
1004316.SAMN04029016	4990	98.49	pyhmmer
1004326.SAMN03339753	5135	101.41	pyhmmer
1004836.SAMN02471213	4895	99.51	pyhmmer
1004.SAMN05661012	6710	133.44	pyhmmer
1005048.SAMN02603677	4432	89.02	pyhmmer
1005057.SAMN02604330	529	12.49	pyhmmer
1005058.SAMN02604222	2494	50.69	pyhmmer
1005090.SAMN02604329	559	13.1	pyhmmer
1005705.SAMN00621697	1762	35.7	pyhmmer
1005928.SAMN04487859	4179	83.76	pyhmmer
1005944.SAMN05192576	4040	80.41	pyhmmer
1005945.SAMN05216561	4417	88.08	pyhmmer
1005999.SAMN02440792	3740	75.17	pyhmmer
1006000.SAMN02743264	4651	92.29	pyhmmer
1006004.SAMN02742621	4332	87.5	pyhmmer
1006006.SAMN02603221	2029	40.82	pyhmmer
1006576.SAMEA3139667	1815	39.0	pyhmmer
1006581.SAMN02641558	816	19.22	pyhmmer
1007096.SAMD00036625	2889	57.39	pyhmmer
1007099.SAMN05216287	4338	87.14	pyhmmer
1007103.SAMN02470015	7492	146.99	pyhmmer
1007105.SAMN02603906	3696	74.51	pyhmmer
1007118.SAMN02441637	1011	21.7	pyhmmer
1007119.SAMN02441647	1342	28.06	pyhmmer
1007123.SAMN02440392	1156	24.33	pyhmmer
1007676.SAMN03734923	2393	48.09	pyhmmer
1008305.SAMN04599355	1842	39.61	pyhmmer
1008392.SAMN03609695	3775	74.63	pyhmmer
1008457.SAMD00036610	2982	59.89	pyhmmer
1008459.SAMN02602982	1524	32.84	pyhmmer
100901.SAMEA2272360	647	14.7	pyhmmer
1009370.SAMN02469409	4284	85.12	pyhmmer
1009412.SAMN02441636	2315	46.43	pyhmmer
1009415.SAMN02441633	3253	64.13	pyhmmer
1009426.SAMN02441643	1343	27.86	pyhmmer
1009464.SAMN00100736	1317	31.77	pyhmmer
1009708.SAMN02440508	2177	43.85	pyhmmer
1009709.SAMN02441242	2097	41.61	pyhmmer
1009711.SAMN02440511	444	10.6	pyhmmer
1009858.SAMN02641631	565	13.01	pyhmmer
1010.SAMN05192578	4026	80.36	pyhmmer
101571.SAMN03449265	6067	120.49	pyhmmer
1017273.SAMN05443094	3766	74.71	pyhmmer
102125.SAMN02261354	5373	108.79	pyhmmer
102127.SAMN02261249	5182	103.74	pyhmmer
102129.SAMN02256520	7828	154.87	pyhmmer
102232.SAMN02261353	4087	81.12	pyhmmer
102684.SAMN04348603	1616	33.33	pyhmmer
1026882.SAMN02469574	3174	63.65	pyhmmer
1027249.SAMN05216179	3693	74.53	pyhmmer
1027371.SAMD00041830	4655	94.21	pyhmmer
1028416.SAMEA3731239	2769	56.01	pyhmmer
102891.SAMN03353435	5686	114.61	pyhmmer
1028989.SAMD00019511	5598	112.99	pyhmmer
1028.SAMN05661096	4082	82.43	pyhmmer
1029718.SAMD00060989	1491	30.96	pyhmmer
1029756.SAMN02641510	3331	66.95	pyhmmer
1029823.SAMN02470194	3623	71.42	pyhmmer
1030157.SAMN02470047	3872	77.03	pyhmmer
1030533.SAMEA3373827	7606	151.73	pyhmmer
1030841.SAMN02299456	2553	50.76	pyhmmer
1031288.SAMN02440782	2416	49.84	pyhmmer
1031564.SAMN03248541	1441	30.36	pyhmmer
1031742.SAMN03737969	1786	36.97	pyhmmer
1031746.SAMN03737973	1678	34.85	pyhmmer
1032069.SAMN03737995	1595	32.78	pyhmmer
1032480.SAMD00061117	5359	106.4	pyhmmer
1032488.SAMN02299457	2530	50.01	pyhmmer
1033730.PRJEA82327	3289	66.04	pyhmmer
1033731.SAMN05444145	2702	55.77	pyhmmer
1033732.PRJEA82331	3135	62.96	pyhmmer
1033733.PRJEA70539	1719	36.21	pyhmmer
1033734.SAMEA2272358	4582	92.32	pyhmmer
1033736.PRJEA82613	3039	60.57	pyhmmer
1033737.SAMEA2272503	3662	72.65	pyhmmer
1033738.PRJEA70549	883	19.48	pyhmmer
1033739.PRJEA70831	3190	63.47	pyhmmer
1033740.SAMEA2272665	3025	59.77	pyhmmer
1033741.SAMEA3246152	9054	180.91	pyhmmer
1033743.SAMEA2271960	4982	99.44	pyhmmer
1033744.SAMEA2272315	1722	35.91	pyhmmer
1033802.SAMN02472183	3524	69.58	pyhmmer
1033806.SAMEA2271992	2743	54.69	pyhmmer
1033810.SAMN02472186	3035	60.63	pyhmmer
1033837.SAMN02603965	1908	38.8	pyhmmer
1033846.SAMN04917425	3784	77.2	pyhmmer
